,airport_code,cy17,cy16,perc_change
492,KLG,2915,3142,-7.22
493,HLA,2897,2728,6.2
494,EEK,2839,3406,-16.65
495,2C7,2779,2299,20.88
496,FMN,2739,1359,101.55
497,AUK,2733,2854,-4.24
498,HVR,2716,2323,16.92
499,MCK,2710,1619,67.39
500,WBB,2687,2571,4.51
501,HOT,2654,1603,65.56
502,2A3,2651,2649,0.08
503,SMK,2641,2464,7.18
504,TAL,2633,2952,-10.81
505,EWU,2602,2936,-11.38
506,SNP,2595,2838,-8.56
507,6R7,2586,1285,101.25
508,MCG,2562,3236,-20.83
509,Z13,2556,3045,-16.06
510,MDM,2505,3194,-21.57
